PRODUCTO,CANTIDAD,ENTRADA/SALIDA,CONCEPTO,DOCUMENTO,STATUS,CADENA,FECHA DE ENVIO/RECEPCION,GRUPO,COSTO UNIT,MES,A¥O
BASTON 4 APOYOS GRIS,280,ENTRADA,COMPRA,P03712,STOCK,JORGE ZARAGOZA,06/02/2024,ORTOPEDIA,93.5,1,2024
CUBREBOCAS KN 95,2000,ENTRADA,COMPRA,P03714,STOCK,CENTRO,29/01/2024,ORTOPEDIA,2.75,1,2024
CUBREBOCAS KF 94,2500,ENTRADA,COMPRA,P03714,STOCK,CENTRO,29/01/2024,ORTOPEDIA,2,1,2024
CUBREBOCAS TRICAPA INFANTIL AZUL,4773,ENTRADA,COMPRA,P03714,STOCK,CENTRO,29/01/2024,ORTOPEDIA,0.58,1,2024
CUBREBOCAS TRICAPA INFANTIL ROSA,227,ENTRADA,COMPRA,P03714,STOCK,CENTRO,29/01/2024,ORTOPEDIA,0.58,1,2024
JALADOR ECONOMICO 30 CM NEGRO,120,ENTRADA,COMPRA,P03720,STOCK,CENTRO,31/01/2024,LIMPIEZA,26.8,1,2024
JALADOR NEGRO 40 CM,120,ENTRADA,COMPRA,P03720,STOCK,CENTRO,31/01/2024,LIMPIEZA,26,1,2024
RECOGEDOR DE COLUMPIO,12,ENTRADA,COMPRA,P03720,STOCK,CENTRO,31/01/2024,LIMPIEZA,41.53,1,2024
CUBETA PARA COMODO,380,ENTRADA,COMPRA,P03721,STOCK,ARPLASA,16/02/2024,INSUMOS,37,1,2024
MULETAS JGO 2 PZAS,60,ENTRADA,COMPRA,P03722,STOCK,SUPERCONFORT,07/02/2024,ORTOPEDIA,240.87,1,2024
MICROFIBRA 30X30 VARIOS COLORES,11200,ENTRADA,COMPRA,P03727,STOCK,CECILIA FARAH,09/02/2024,LIMPIEZA,2.5,1,2024
MICROFIBRA 40X40 VARIOS COLORES,11200,ENTRADA,COMPRA,P03727,STOCK,CECILIA FARAH,09/02/2024,LIMPIEZA,5,1,2024
CABESTRILLO GRANDE,250,ENTRADA,COMPRA,P03729,STOCK,PEDRO DEL REY,07/02/2024,ORTOPEDIA,26,1,2024
CABESTRILLO MEDIANO,200,ENTRADA,COMPRA,P03729,STOCK,PEDRO DEL REY,07/02/2024,ORTOPEDIA,26,1,2024
RODILLO PIZZA,1000,ENTRADA,COMPRA,P03730,STOCK,MANZANARES,13/02/2024,COCINA,13.8,1,2024
RODILLO,1270,ENTRADA,COMPRA,P03730,STOCK,MANZANARES,13/02/2024,COCINA,17,1,2024
ANDADERA FIJA ESMALTADA,100,ENTRADA,COMPRA,P03731,STOCK,JORGE ZARAGOZA,08/02/2024,ORTOPEDIA,258.5,1,2024
CONTENEDOR A - LT1B035,5040,ENTRADA,COMPRA,P03732,STOCK,ENVASES UNIVERSALES,16/02/2024,CONTENEDORES,8.85,1,2024
CONTENEDOR B - LT1B053,1000,ENTRADA,COMPRA,P03733,STOCK,LUIN,23/02/2024,CONTENEDORES,9.72,1,2024
CONTENEDOR C - LT1V054,1525,ENTRADA,COMPRA,P03733,STOCK,LUIN,23/02/2024,CONTENEDORES,6.23,1,2024
LETRERO FELIZ CUMPLEA¥OS GLOBO,600,ENTRADA,COMPRA,P03736,STOCK,CENTRO,31/01/2024,FIESTA,10,1,2024
EXPRIMIDOR,2400,ENTRADA,COMPRA,P03737,STOCK,NORDITALIA,14/02/2024,UTENSILIOS,6,1,2024
JUEGO DE 3 COLADERAS,600,ENTRADA,COMPRA,P03738,STOCK,NORDITALIA,28/02/2024,COCINA,12,1,2024
BASTON ALEMAN GRIS,500,ENTRADA,COMPRA,P03712,STOCK,JORGE ZARAGOZA,08/02/2024,ORTOPEDIA,30,1,2024
CAJA 20 PZAS MICROFIBRA 3B,300,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,30/01/2024,AUTOS,271,1,2024
CAJA 20 PZAS MICROFIBRA 3B,220,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,30/01/2024,AUTOS,271,1,2024
CAJA 20 PZAS MICROFIBRA 3B,50,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,31/01/2024,AUTOS,271,1,2024
CUCHARA PARA SPAGHETTI NYLON,1000,ENTRADA,COMPRA,P03650,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
CAJA 20 PZAS MICROFIBRA 3B,150,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,31/01/2024,AUTOS,271,1,2024
CAJA 20 PZAS MICROFIBRA 3B,160,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,31/01/2024,AUTOS,271,1,2024
MANTEL TABLON LISO,7200,ENTRADA,COMPRA,P03743,STOCK,CENTRO,31/01/2024,FIESTA,9,1,2024
BOLSA REGALO DECORADA MEDIANA,72,ENTRADA,COMPRA,P03748,STOCK,CENTRO,31/01/2024,FIESTA,8.33,1,2024
BOLSA REGALO DECORADA GRANDE,60,ENTRADA,COMPRA,P03748,STOCK,CENTRO,31/01/2024,FIESTA,10,1,2024
BOLSA REGALO DECORADA CHICA,60,ENTRADA,COMPRA,P03748,STOCK,CENTRO,31/01/2024,FIESTA,6.67,1,2024
PINZA PARA ROPA 30 PZAS,2344,ENTRADA,COMPRA,P03662,STOCK,NORDITALIA,31/01/2024,HOGAR,6.9,1,2024
CAJA 20 PZAS MICROFIBRA 3B,320,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,01/02/2024,AUTOS,271,2,2024
CAJA 20 PZAS MICROFIBRA 3B,320,ENTRADA,COMPRA,P03760,STOCK,CECILIA FARAH,02/02/2024,AUTOS,271,2,2024
EXPRIMIDOR,3600,ENTRADA,COMPRA,P03680,STOCK,NORDITALIA,02/02/2024,UTENSILIOS,6,1,2024
MATAMOSCAS PLASTICO,1680,ENTRADA,COMPRA,P03675,STOCK,NORDITALIA,02/02/2024,HOGAR,2.25,1,2024
MANTEL TABLON LISO,12000,ENTRADA,COMPRA,P03753,STOCK,CENTRO,02/01/2024,FIESTA,9,1,2024
VELA CHISPERA INSUMO,15000,ENTRADA,COMPRA,P03751,STOCK,CENTRO,02/01/2024,FIESTA,2.75,1,2024
MOLCAJETE,100,ENTRADA,COMPRA,P03757,STOCK,VIRIDIANA,02/02/2024,COCINA,105,1,2024
VELA MAGICA NUMERO 0,3000,ENTRADA,COMPRA,P03750,STOCK,CENTRO,08/02/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 1,3000,ENTRADA,COMPRA,P03750,STOCK,CENTRO,08/02/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 2,3000,ENTRADA,COMPRA,P03750,STOCK,CENTRO,08/02/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 3,3000,ENTRADA,COMPRA,P03750,STOCK,CENTRO,08/02/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 4,3000,ENTRADA,COMPRA,P03750,STOCK,CENTRO,08/02/2024,FIESTA,4.2,2,2024
VELA MAGICA NUMERO 5,1000,ENTRADA,COMPRA,P03750,STOCK,CENTRO,08/02/2024,FIESTA,4.2,2,2024
LENTE SENCILLO DE 1.00,1800,ENTRADA,COMPRA,P03754,STOCK,YIBA,08/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 1.50,3000,ENTRADA,COMPRA,P03754,STOCK,YIBA,08/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 2.00,1800,ENTRADA,COMPRA,P03754,STOCK,YIBA,08/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 2.50,3000,ENTRADA,COMPRA,P03754,STOCK,YIBA,08/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 3.50,3000,ENTRADA,COMPRA,P03754,STOCK,YIBA,08/02/2024,LENTE,7,2,2024
LENTE DE SOL HOMBRE,1857,ENTRADA,COMPRA,P03755,STOCK,CENTRO LENTE,08/02/2024,LENTE,10.5,2,2024
LENTE DE SOL MUJER,1032,ENTRADA,COMPRA,P03755,STOCK,CENTRO LENTE,08/02/2024,LENTE,10.5,2,2024
PINZA DE HIELO,2000,ENTRADA,COMPRA,P03761,STOCK,NORDITALIA,19/02/2024,UTENSILIOS,7,2,2024
INMOVILIZADOR,200,ENTRADA,COMPRA,P03763,STOCK,PEDRO DEL REY,16/02/2024,ORTOPEDIA,68,2,2024
PINZA PARA ROPA 30 PZAS,625,ENTRADA,COMPRA,P03765,STOCK,NORDITALIA,28/03/2024,HOGAR,6.9,2,2024
CESTO CALADO,4998,ENTRADA,COMPRA,P03766,STOCK,PEONIA DE SAN LUIS,12/02/2024,LIMPIEZA,8.2,2,2024
JUEGO DE 2 COLADERAS MD Y GD,4000,ENTRADA,COMPRA,P03767,STOCK,NORDITALIA,16/02/2024,COCINA,8.85,2,2024
FUNDA PARA CELULAR CONTRA AGUA VARIOS COLORES,1800,ENTRADA,COMPRA,P03768,STOCK,CENTRO,08/02/2024,OTROS,10.8,2,2024
FUNDA PARA CELULAR CONTRA AGUA VARIOS COLORES,1800,ENTRADA,COMPRA,P03768,STOCK,CENTRO,08/02/2024,OTROS,10.8,2,2024
CUCHARA SOPERA ACERO,15600,ENTRADA,COMPRA,P03769,STOCK,PEONIA DE SAN LUIS,09/02/2024,UTENSILIOS,1.08,2,2024
TENEDOR ACERO,12000,ENTRADA,COMPRA,P03769,STOCK,PEONIA DE SAN LUIS,09/02/2024,UTENSILIOS,1.08,2,2024
CUCHARA POSTRERA,8400,ENTRADA,COMPRA,P03769,STOCK,PEONIA DE SAN LUIS,09/02/2024,UTENSILIOS,1.08,2,2024
EXPRIMIDOR,1440,ENTRADA,COMPRA,P03770,STOCK,NORDITALIA,20/02/2024,UTENSILIOS,6,2,2024
GANCHO ELEGANTE ROPA 10 PZAS,4000,ENTRADA,COMPRA,P03773,STOCK,PLASTICOS LA OCA,14/02/2024,OTROS,11.4,2,2024
GANCHO ELEGANTE ROPA 5 PZAS,4000,ENTRADA,COMPRA,P03773,STOCK,PLASTICOS LA OCA,14/02/2024,OTROS,5.95,2,2024
VASO CHELERO COLORES,4800,ENTRADA,COMPRA,P03773,STOCK,PLASTICOS LA OCA,14/02/2024,COCINA,4.75,2,2024
CUBETA NUM 12 COLORES,6000,ENTRADA,COMPRA,P03773,STOCK,PLASTICOS LA OCA,14/02/2024,OTROS,9.5,2,2024
CAJA 20 PZAS MICROFIBRA 3B,480,ENTRADA,COMPRA,P03805,STOCK,CECILIA FARAH,06/02/2024,AUTOS,271,2,2024
JUEGO DE 3 COLADERAS,300,ENTRADA,COMPRA,P03660,STOCK,NORDITALIA,07/02/2024,COCINA,12,1,2024
MULETAS JGO 2 PZAS,60,ENTRADA,COMPRA,P03786,STOCK,SUPERCONFORT,07/02/2024,ORTOPEDIA,240.87,2,2024
MOLCAJETE,100,ENTRADA,COMPRA,P03778,STOCK,VIRIDIANA,14/02/2024,COCINA,105,2,2024
JALADOR LIMPIAVIDRIOS 24 CM NEGRO,1500,ENTRADA,COMPRA,P03779,STOCK,TREVI¥O,14/02/2024,AUTOS,19.9,2,2024
MARCO 4X6 PLANA 2,520,ENTRADA,COMPRA,P03780,STOCK,BELLO,17/04/2024,MARCOS,6.36,2,2024
MARCO 5X7 PLANA 2,400,ENTRADA,COMPRA,P03780,STOCK,BELLO,14/03/2024,MARCOS,6.94,2,2024
MARCO 6X8 PLANA 2,400,ENTRADA,COMPRA,P03780,STOCK,BELLO,14/03/2024,MARCOS,7.49,2,2024
MARCO 30X75 PLANA 2,500,ENTRADA,COMPRA,P03780,STOCK,BELLO,23/02/2024,MARCOS,14.73,2,2024
MARCO 4X6 PLANA 3,250,ENTRADA,COMPRA,P03780,STOCK,BELLO,27/03/2024,MARCOS,9.72,2,2024
MARCO 5X7 PLANA 3,180,ENTRADA,COMPRA,P03780,STOCK,BELLO,27/03/2024,MARCOS,11.42,2,2024
MARCO 6X8 PLANA 3,100,ENTRADA,COMPRA,P03780,STOCK,BELLO,06/03/2024,MARCOS,11.74,2,2024
SILLA DE RUEDAS IMPORTADA,50,ENTRADA,COMPRA,P03782,STOCK,DMH,08/02/2024,ORTOPEDIA,999,2,2024
TABLA CUADRADA 20X30,800,ENTRADA,COMPRA,P03783,STOCK,JUAN CARLOS SAVEEDRA,14/02/2024,COCINA,15.55,2,2024
TABLA CUADRADA 25X30,780,ENTRADA,COMPRA,P03783,STOCK,JUAN CARLOS SAVEEDRA,14/02/2024,COCINA,25.2,2,2024
CUBREBOCAS KN 95,2500,ENTRADA,COMPRA,P03784,STOCK,CENTRO,08/02/2024,ORTOPEDIA,2.75,2,2024
CUBREBOCAS TRICAPA INFANTIL AZUL,3500,ENTRADA,COMPRA,P03784,STOCK,CENTRO,08/02/2024,ORTOPEDIA,0.58,2,2024
CUBREBOCAS TRICAPA INFANTIL ROSA,1500,ENTRADA,COMPRA,P03784,STOCK,CENTRO,08/02/2024,ORTOPEDIA,0.58,2,2024
MARCO 6X8 BLANCO MOLDURA 4,400,ENTRADA,COMPRA,P03789,STOCK,MAS MARCOS,18/04/2024,MARCOS,35.52,2,2024
MARCO 4X6 BLANCO MOLDURA 38,400,ENTRADA,COMPRA,P03789,STOCK,MAS MARCOS,18/04/2024,MARCOS,17.79,2,2024
MARCO 5X7 BLANCO MOLDURA 38,400,ENTRADA,COMPRA,P03789,STOCK,MAS MARCOS,18/04/2024,MARCOS,20.16,2,2024
CAJA 20 PZAS MICROFIBRA 3B,200,ENTRADA,COMPRA,P03805,STOCK,CECILIA FARAH,07/02/2024,AUTOS,271,2,2024
CUBREBOCAS KN 95,500,ENTRADA,COMPRA,P03714,STOCK,CENTRO,29/01/2024,ORTOPEDIA,2.75,1,2024
CUBREBOCAS KF 94,500,ENTRADA,COMPRA,P03714,STOCK,CENTRO,29/01/2024,ORTOPEDIA,2,1,2024
CUCHARA LISA NYLON,500,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
VOLTEADOR RECTO NYLON,480,ENTRADA,COMPRA,P03706,STOCK,NORDITALIA,31/01/2024,UTENSILIOS,4.6,1,2024
EXPRIMIDOR,2640,ENTRADA,COMPRA,P03737,STOCK,NORDITALIA,09/02/2024,UTENSILIOS,6,1,2024
MATAMOSCAS PLASTICO,3500,ENTRADA,COMPRA,P03675,STOCK,NORDITALIA,09/02/2024,HOGAR,2.25,1,2024
CONTENEDOR D - LT1B059,4080,ENTRADA,COMPRA,P03591,STOCK,LUIN,09/02/2024,CONTENEDORES,5.1,1,2024
CONTENEDOR F-LV1B041,2499,ENTRADA,COMPRA,P03591,STOCK,LUIN,09/02/2024,CONTENEDORES,6.44,1,2024
RESPALDO 4X6 A 2 CM,500,ENTRADA,COMPRA,P03798,STOCK,CRISTIAN ARTURO BARCENAS,16/02/2024,RESPALDOS,6.39,2,2024
RESPALDO 5X7 A 2 CM,500,ENTRADA,COMPRA,P03798,STOCK,CRISTIAN ARTURO BARCENAS,16/02/2024,RESPALDOS,7.72,2,2024
RESPALDO 6X8 A 2 CM,500,ENTRADA,COMPRA,P03798,STOCK,CRISTIAN ARTURO BARCENAS,16/02/2024,RESPALDOS,8.83,2,2024
ANDADERA FIJA ESMALTADA,100,ENTRADA,COMPRA,P03800,STOCK,JORGE ZARAGOZA,21/02/2024,ORTOPEDIA,258.5,2,2024
SILLA ORTOPEDICA PARA DUCHA,30,ENTRADA,COMPRA,P03800,STOCK,JORGE ZARAGOZA,23/02/2024,ORTOPEDIA,200,2,2024
BASTON ALEMAN GRIS,250,ENTRADA,COMPRA,P03801,STOCK,JORGE ZARAGOZA,28/02/2024,ORTOPEDIA,30,2,2024
BASTON 4 APOYOS GRIS,100,ENTRADA,COMPRA,P03801,STOCK,JORGE ZARAGOZA,28/02/2024,ORTOPEDIA,93.5,2,2024
"GLOBO METALICO NUMERO 0 DE 16""",2700,ENTRADA,COMPRA,P03803,STOCK,CENTRO,14/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 3 DE 16""",400,ENTRADA,COMPRA,P03803,STOCK,CENTRO,14/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 6 DE 16""",2350,ENTRADA,COMPRA,P03803,STOCK,CENTRO,14/02/2024,FIESTA,2.5,2,2024
VELA CHISPERA INSUMO,2000,ENTRADA,COMPRA,P03806,STOCK,CENTRO,14/02/2024,FIESTA,2.75,2,2024
LENTE SENCILLO DE 1.00,1800,ENTRADA,COMPRA,P03807,STOCK,YIBA,14/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 1.25,3000,ENTRADA,COMPRA,P03807,STOCK,YIBA,14/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 1.50,3000,ENTRADA,COMPRA,P03807,STOCK,YIBA,14/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 2.25,1800,ENTRADA,COMPRA,P03807,STOCK,YIBA,14/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 2.50,4800,ENTRADA,COMPRA,P03807,STOCK,YIBA,14/02/2024,LENTE,7,2,2024
LENTE SENCILLO DE 3.50,1200,ENTRADA,COMPRA,P03807,STOCK,YIBA,14/02/2024,LENTE,7,2,2024
TABLA CUADRADA 25X30,1200,ENTRADA,COMPRA,P03808,STOCK,JUAN CARLOS SAVEEDRA,21/02/2024,COCINA,25.2,2,2024
TABLA BOTANERA 25X30,60,ENTRADA,COMPRA,P03808,STOCK,JUAN CARLOS SAVEEDRA,14/02/2024,COCINA,25.6,2,2024
CANDADO PARA BICICLETA 90CM,240,ENTRADA,COMPRA,P03810,STOCK,SILVERLINE,19/02/2024,BICICLETAS,27.9,2,2024
"CUCHILLO DE COCINA MANGO MADERA 6""",960,ENTRADA,COMPRA,P03811,STOCK,PEONIA DE SAN LUIS,16/02/2024,UTENSILIOS,6.802470492,2,2024
"CUCHILLO DE COCINA MANGO MADERA 8""",480,ENTRADA,COMPRA,P03811,STOCK,PEONIA DE SAN LUIS,16/02/2024,UTENSILIOS,8,2,2024
CABESTRILLO GRANDE,250,ENTRADA,COMPRA,P03813,STOCK,PEDRO DEL REY,26/02/2024,ORTOPEDIA,26,2,2024
CABESTRILLO MEDIANO,150,ENTRADA,COMPRA,P03813,STOCK,PEDRO DEL REY,26/02/2024,ORTOPEDIA,26,2,2024
COMODO BLANCO,64,ENTRADA,COMPRA,P03709,STOCK,JORGE ZARAGOZA,12/02/2024,ORTOPEDIA,195,1,2024
CAJA 20 PZAS MICROFIBRA 3B,300,ENTRADA,COMPRA,P03841,STOCK,CECILIA FARAH,12/02/2024,AUTOS,271,2,2024
ENCENDEDOR RIGIDO,40000,ENTRADA,COMPRA,P03815,STOCK,VILCHES,24/02/2024,COCINA,6.47,2,2024
CAJA 20 PZAS MICROFIBRA 3B,100,ENTRADA,COMPRA,P03841,STOCK,CECILIA FARAH,13/02/2024,AUTOS,271,2,2024
TABLA CUADRADA 20X30,340,ENTRADA,COMPRA,P03819,STOCK,JUAN CARLOS SAVEEDRA,29/02/2024,COCINA,15.55,2,2024
TABLA CUADRADA 25X30,500,ENTRADA,COMPRA,P03819,STOCK,JUAN CARLOS SAVEEDRA,29/02/2024,COCINA,25.2,2,2024
MINI BOMBA AIRE ALUMINIO,100,ENTRADA,COMPRA,P03821,STOCK,CENTRO,14/02/2024,BICICLETAS,52,2,2024
MINI BOMBA AIRE PLASTICO,100,ENTRADA,COMPRA,P03821,STOCK,CENTRO,14/02/2024,BICICLETAS,52,2,2024
CANDADO PARA BICICLETA 60CM,100,ENTRADA,COMPRA,P03821,STOCK,CENTRO,14/02/2024,BICICLETAS,38,2,2024
ASADOR NORTE¥O,100,ENTRADA,COMPRA,P03822,STOCK,SERVICIOS INDUSTRIALES,29/02/2024,COCINA,40.55,2,2024
EXPRIMIDOR,4080,ENTRADA,COMPRA,P03823,STOCK,NORDITALIA,24/02/2024,UTENSILIOS,6,2,2024
MARCO 21.5X28 MOLDURA 4,926,ENTRADA,COMPRA,P03824,STOCK,MAS MARCOS,18/04/2024,MARCOS,30.73,2,2024
MARCO 30X75 PLANA 2,140,ENTRADA,COMPRA,P03828,STOCK,BELLO,14/03/2024,MARCOS,14.73,2,2024
MARCO 30X30 PLANA 2,200,ENTRADA,COMPRA,P03828,STOCK,BELLO,06/03/2024,MARCOS,10.82,2,2024
MARCO 30X40 PLANA 2,200,ENTRADA,COMPRA,P03828,STOCK,BELLO,06/03/2024,MARCOS,9.14,2,2024
TENEDOR 2 PUNTAS EXTRA LARGO,200,ENTRADA,COMPRA,P03829,STOCK,NORDITALIA,24/02/2024,UTENSILIOS,16.59,2,2024
CHEFF ASADOR EXTRA LARGO,200,ENTRADA,COMPRA,P03829,STOCK,NORDITALIA,24/02/2024,COCINA,17.1,2,2024
RESPALDO 4X6 A 2 CM,1700,ENTRADA,COMPRA,P03830,STOCK,MARCOS Y MARCOS,04/03/2024,RESPALDOS,6.39,2,2024
RESPALDO 5X7 A 2 CM,1100,ENTRADA,COMPRA,P03830,STOCK,MARCOS Y MARCOS,19/03/2024,RESPALDOS,7.72,2,2024
RESPALDO 6X8 A 2 CM,1700,ENTRADA,COMPRA,P03830,STOCK,MARCOS Y MARCOS,04/03/2024,RESPALDOS,8.83,2,2024
RESPALDO 4X6 A 3 CM,1700,ENTRADA,COMPRA,P03830,STOCK,MARCOS Y MARCOS,19/03/2024,RESPALDOS,6.39,2,2024
RESPALDO 5X7 A 3 CM,1700,ENTRADA,COMPRA,P03830,STOCK,MARCOS Y MARCOS,26/03/2024,RESPALDOS,7.72,2,2024
RESPALDO 6X8 A 3 CM,1700,ENTRADA,COMPRA,P03830,STOCK,MARCOS Y MARCOS,26/03/2024,RESPALDOS,8.83,2,2024
RECOGEDOR CON MANGO REFORZADO,3000,ENTRADA,COMPRA,P03834,STOCK,NORDITALIA,14/02/2024,LIMPIEZA,8.56,2,2024
ANDADERA RECIPROCA ALUMINIO,10,ENTRADA,COMPRA,P03833,STOCK,JORGE ZARAGOZA,21/02/2024,ORTOPEDIA,270,2,2024
BASTON 4 APOYOS GRIS,10,ENTRADA,COMPRA,P03833,STOCK,JORGE ZARAGOZA,21/02/2024,ORTOPEDIA,93.5,2,2024
MOLCAJETE,118,ENTRADA,COMPRA,P03837,STOCK,VIRIDIANA,23/02/2024,COCINA,105,2,2024
MOLCAJETE,100,ENTRADA,COMPRA,P03838,STOCK,VIRIDIANA,16/02/2024,COCINA,105,2,2024
GABINETE CHOCOLATE 30X40,600,ENTRADA,COMPRA,P03839,STOCK,MANZANARES,30/05/2024,HOGAR,26,2,2024
TABLA CUADRADA 25X30,20,ENTRADA,COMPRA,P03783,STOCK,JUAN CARLOS SAVEEDRA,21/02/2024,COCINA,25.2,2,2024
TABLA CUADRADA 20X30,100,ENTRADA,COMPRA,P03819,STOCK,JUAN CARLOS SAVEEDRA,14/02/2024,COCINA,15.55,2,2024
EXPRIMIDOR,1200,ENTRADA,COMPRA,P03770,STOCK,NORDITALIA,14/02/2024,UTENSILIOS,6,2,2024
MATAMOSCAS PLASTICO,4500,ENTRADA,COMPRA,P03675,STOCK,NORDITALIA,14/02/2024,HOGAR,2.25,1,2024
CAJA 20 PZAS MICROFIBRA 3B,900,ENTRADA,COMPRA,P03841,STOCK,CECILIA FARAH,14/02/2024,AUTOS,271,2,2024
CAJA 20 PZAS MICROFIBRA 3B,300,ENTRADA,COMPRA,P03841,STOCK,CECILIA FARAH,15/02/2024,AUTOS,271,2,2024
TENEDOR 2 PUNTAS EXTRA LARGO,12,ENTRADA,COMPRA,P03829,STOCK,NORDITALIA,14/02/2024,UTENSILIOS,16.59,2,2024
PINZA PARA ROPA 30 PZAS,194,ENTRADA,COMPRA,P03674,STOCK,NORDITALIA,14/02/2024,HOGAR,6.9,1,2024
"GLOBO METALICO NUMERO 0 DE 16""",100,ENTRADA,COMPRA,P03803,STOCK,CENTRO,19/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 6 DE 16""",150,ENTRADA,COMPRA,P03803,STOCK,CENTRO,19/02/2024,FIESTA,2.5,2,2024
PINZA DE HIELO,8000,ENTRADA,COMPRA,P03761,STOCK,NORDITALIA,15/02/2024,UTENSILIOS,7,2,2024
EXPRIMIDOR,2400,ENTRADA,COMPRA,P03770,STOCK,NORDITALIA,16/02/2024,UTENSILIOS,6,2,2024
PINZA DE HIELO,4000,ENTRADA,COMPRA,P03840,STOCK,NORDITALIA,24/02/2024,UTENSILIOS,7,2,2024
LETRERO FELIZ CUMPLEA¥OS GLOBO,600,ENTRADA,COMPRA,P03843,STOCK,CENTRO,23/02/2024,FIESTA,10,2,2024
VELA MAGICA NUMERO 4,2000,ENTRADA,COMPRA,P03844,STOCK,CENTRO,22/02/2024,FIESTA,4.2,2,2024
"GLOBO METALICO NUMERO 0 DE 16""",800,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 1 DE 16""",1400,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 2 DE 16""",1400,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 3 DE 16""",1100,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 4 DE 16""",2000,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 5 DE 16""",2000,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 6 DE 16""",1400,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 7 DE 16""",2700,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 8 DE 16""",2800,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 9 DE 16""",1900,ENTRADA,COMPRA,P03848,STOCK,CENTRO,22/02/2024,FIESTA,2.5,2,2024
"GLOBO METALICO NUMERO 0 DE 32""",500,ENTRADA,COMPRA,P03849,STOCK,CENTRO,21/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 1 DE 32""",1000,ENTRADA,COMPRA,P03849,STOCK,CENTRO,21/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 2 DE 32""",4000,ENTRADA,COMPRA,P03849,STOCK,CENTRO,21/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 3 DE 32""",2800,ENTRADA,COMPRA,P03849,STOCK,CENTRO,21/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 4 DE 32""",1500,ENTRADA,COMPRA,P03849,STOCK,CENTRO,21/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 5 DE 32""",2200,ENTRADA,COMPRA,P03849,STOCK,CENTRO,21/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 6 DE 32""",3600,ENTRADA,COMPRA,P03849,STOCK,CENTRO,21/02/2024,FIESTA,4.8,2,2024
"GLOBO METALICO NUMERO 8 DE 32""",2000,ENTRADA,COMPRA,P03849,STOCK,CENTRO,21/02/2024,FIESTA,4.8,2,2024
SILLA DE RUEDAS IMPORTADA,20,ENTRADA,COMPRA,P03850,STOCK,DMH,21/02/2024,ORTOPEDIA,999,2,2024
"CUCHILLO DE COCINA MANGO MADERA 7""",6720,ENTRADA,COMPRA,P03853,STOCK,CENTRO,19/02/2024,UTENSILIOS,7.482717542,2,2024
